,query,n_rank1,n_rank2,n_rank3,count,p_rank1,p_rank2,p_rank3
4020,문자인증,"('로밍중인증문자수신', 0.711)","('휴대폰인증서서비스', 0.701)","('유선인터넷웹보안인증서문제조치방법', 0.652)",2,문자매니저(0.462949575),문자메시지서비스(0.46182367),문자매니저신청방법(0.450348885)
4021,집에서는 인터넷 와이파이가 잘 되는데 밖에 나가면 잘 안되요?,"('Twifi렌탈', 0.463)",,,2,"SK유무선공유기Wi-Fi접속불가조치방법(0.81067425)
",,
4022,착신서비스 이용 어떻게 하나요?,"('착신전환이용방법', 0.738)","('착신전환', 0.728)","('T_착신전환', 0.712)",2,착신전환신청방법(0.45315528),착신전환(0.4508228),착신전환이용방법(0.4416795)
4023,사용정지문의,"('정지관련', 0.682)","('일시정지', 0.545)","('유선일시정지신청/해제방법', 0.524)",2,착신금지서비스신청방법(0.4623491),착신금지서비스(0.460119875),착신금지서비스해지방법(0.4433675)
4024,미납 요금 ..납부가능일 문의,"('SKT미납센터연락처', 0.488)","('요금납부일확인방법', 0.456)","('미납이용정지', 0.45)",2,SKT미납센터연락처(0.48124885),미납이용정지(0.4532262),미납직권해지(0.437801)
4025,통화 중 다른 전화,"('비밀번호통화서비스', 0.48)","('타사고객baroBox이용', 0.476)","('인터넷TV가입(타사)', 0.476)",2,통화중대기서비스(0.48476702),통화중대기서비스신청방법(0.48343915),T_통화중대기(0.47236325)
4026,전화가 안 돼 왜 안되지?,"('휴대폰전화수발신불가조치방법', 0.651)","('집전화수발신불가조치방법', 0.65)","('전화관련', 0.53)",2,휴대폰전화수발신불가조치방법(0.431156935),휴대폰전화수신불가조치방법(0.406111925),"휴대폰통화중잡음묵음조치방법(0.40298085)
"
4027,실시간은 뭔가요?,"('실시간요금상세내역', 0.587)",,,2,"실시간요금상세내역(0.86209)
",,
4028,개인정보에동의했는데휴대폰개통되나요,,,,2,"명의도용(0.8196604)
",,
4029,그래 감사,"('상담사칭찬방법', 0.466)",,,2,전화상담사연결(0.4019029),"미디어앤데이터팩신청방법(0.401182475)
",
4030,상담사 아니지,"('전화상담사연결', 0.56)","('SK텔레콤고객센터운영시간', 0.486)","('타통신사고객센터', 0.483)",2,전화상담사연결(0.48706013),SK텔레콤고객센터운영시간(0.48672815),타통신사고객센터(0.466166465)
4031,결제방식 바꾸고싶어요,"('요금제변경', 0.468)",,,2,"휴대폰결제이용가능대상(0.83974767)
",,
4032,정지호는 누구야?,,,,2,일시정지(0.4723936),일시정지해제방법(0.43994535),"유선일시정지신청/해제방법(0.43724155)
"
4033,인터넷TV 명의변경신청했습니다,"('명의변경', 0.691)","('유선명의변경', 0.625)","('가족간명의변경신청방법', 0.543)",2,유선명의변경(0.49636367),명의변경(0.493503035),가족간명의변경(0.49261233)
4034,미인증단말기 연결,,,,2,휴대폰인증서서비스(0.47606477),공동인증서등록방법(0.472186565),휴대폰인증서서비스해지방법(0.4509056)
4035,요금중에 다모아캐시라고 해서  금액이 빠졌는데 이게 뭐죠,,,,2,T가족모아데이터신청방법(0.451373665),5GT가족모아데이터(0.4511977),T가족모아데이터(0.44836238)
4036,선택약정대신 지원금을 받으면 금액이 얼마인가요?,"('T지원금약정', 0.478)","('선택약정할인제도가입불가요금제', 0.46)",,2,선택약정할인반환금면제대상(0.4889269),선택약정할인제도할인반환금부과대상(0.48832008),선택약정할인제도가입조건(0.4867548)
4037,가입사실증명원발급,"('이용계약증명서발급방법', 0.657)","('휴대폰인증서서비스', 0.47)","('유선인터넷웹보안인증서문제조치방법', 0.46)",2,"이용계약증명서발급방법(0.8909314)
",,
4038,유심등록,"('USIM기변방법', 0.548)","('로밍중USIM변경', 0.505)","('USIM카드구매방법', 0.498)",2,USIM기기변경방법(0.49070205),USIM카드구매방법(0.49006957),USIM카드교품방법(0.48903285)
4039,누구서비스가 무슨이유때문에 사라졌어?,"('NUGU서비스탈퇴방법', 0.674)","('T전화NUGU계정해제방법', 0.569)","('멜론NUGU스트리밍클럽해지방법', 0.51)",2,NUGU서비스앱디바이스연결실패조치방법(0.46429333),NUGU디바이스적색등오류(0.4565437),NUGU서비스스마트폰연결방법(0.439691635)
4040,baro 요금제 지금 한달 29000원짜리쓰고있는데 3g가짜리 가장높은게얼마지,"('baro3GB', 0.604)","('baro4GB ', 0.483)",,2,T전화baro(0.4557107),T전화baro이용방법(0.4512371),"baroYT요금제(0.43042225)
"
4041,납뷰일자를 2023.11.25일로 해주세요,,,,2,"요금납부일확인방법(0.89841413)
",,
4042,미납요금 납부계좌,"('SKT미납센터연락처', 0.62)",,,2,SKT미납센터연락처(0.48665645),미납직권해지(0.45486655),미납이용정지(0.4539912)
4043,왜 요금이 많이 나왔는지,"('부가사용금액', 0.459)",,,2,요금부분납부방법(0.46881755),요금수납내역확인방법(0.46431312),편의점요금납부(0.45288885)
4044,난 청소년인데,"('미성년자관련', 0.657)","('T청소년안심서비스', 0.545)","('미성년자요금제변경방법', 0.502)",2,팅요금제자동변경시기(0.45962965),가입정보조회(0.45786805),미성년자요금제변경방법(0.448928685)
4045,좀전에 세이프케시가 가입되었는데 바로 해지 부탁드립니다,"('세이프캐시해지방법', 0.551)",,,2,PASS세이프가드해지방법(0.4633996),세이프캐시신청방법(0.45628585),세이프캐시(0.4562131)
4046,과거 청구 내역 확인,"('수납이력서재발행방법', 0.624)","('콘텐츠이용료구매내역확인방법', 0.532)","('통화내역열람방법', 0.513)",2,요금수납내역확인방법(0.42857065),요금부분납부방법(0.416107835),과납(0.40545855)
4047,요금안내 문자설정,"('레터링설정방법', 0.559)","('문자메시지서비스', 0.51)","('Btv사용자맞춤설정방법', 0.498)",2,요금안내서변경방법(0.4244731),"요금안내서발행유형자동변경해제방법(0.41701317)
",
4048,요금내역 궁금합니다,"('콘텐츠이용료구매내역확인방법', 0.587)","('요금수납내역확인방법', 0.579)","('유선요금납부내역확인방법', 0.522)",2,요금수납내역확인방법(0.48092073),요금부분납부방법(0.47085705),편의점요금납부(0.4625671)
4049,9월 요금안내서,,,,2,요금안내서변경방법(0.48331355),요금안내서재발행방법(0.475114315),"요금안내서발행유형자동변경해제방법(0.46954215)
"
4050,미납요금은몇일에빠지나요,"('미납이용정지', 0.53)","('SKT미납센터연락처', 0.468)",,2,SKT미납센터연락처(0.49229805),미납이용정지(0.465409935),미납직권해지(0.4486329)
4051,10월분 미납요금은 얼마입니까?,,,,2,SKT미납센터연락처(0.4733976),미납이용정지(0.4628355),SKT해지미납센터연락처(0.4110309)
4052,자녀의 선택약정할인제도 가입,"('선택약정할인제도가입조건', 0.581)",,,2,선택약정할인제도가입조건(0.4871719),선택약정할인제도만료문자발송시기(0.482019425),선택약정할인제도재가입조건(0.479205)
4053,미납요금 때문에 문자합니다,"('SKT미납센터연락처', 0.596)","('미납이용정지', 0.471)",,2,SKT미납센터연락처(0.48894905),미납이용정지(0.4612042),미납직권해지(0.44011605)
4054,오늘 납부 가능해요,"('요금납부일확인방법', 0.485)","('단말기할부금중도납부방법', 0.452)",,2,부가사용금액(0.47616405),편의점요금납부(0.47034315),요금수납내역확인방법(0.46498728)
4055,부가사용액에 대한 내역은?,"('부가사용금액', 0.662)",,,2,부가사용금액(0.4937519),편의점요금납부(0.45502478),요금수납내역확인방법(0.441566675)
4056,부가이용료 내용이 뭘까요?,"('부가사용금액', 0.666)",,,2,"부가사용금액(0.90737957)
",,
4057,로밍이요,"('T로밍카드', 0.618)","('T로밍고객센터', 0.553)","('가족로밍', 0.543)",2,로밍한사람간통화요금(0.4825062),로밍통화요금(0.48044303),로밍중전화발신방법(0.47450615)
4058,상담원과   대화를  할께요,"('전화상담사연결', 0.621)","('SK텔레콤고객센터운영시간', 0.516)","('제조사AS센터연락처', 0.478)",2,전화상담사연결(0.47948128),SK텔레콤고객센터운영시간(0.469034435),ONEstore고객센터(0.45225965)
4059,31일 전 납부가능,"('요금납부일확인방법', 0.49)",,,2,요금납부일확인방법(0.4751613),"과납(0.405894875)
",
4060,25%할인,,,,2,선택약정할인제도가입불가요금제(0.44256075),선택약정할인중복가입가능상품(0.4407696),선택약정할인제도가입조건(0.43963748)
4061,브이 컬러링이 모야? 궁금행^^,"('V컬러링', 0.649)","('V컬러링이용방법', 0.627)","('V컬러링오류조치방법', 0.528)",2,V컬러링신청방법(0.4688573),컬러링서비스신청방법(0.46708695),V컬러링(0.46657955)
4062,구글 들어가는 법 알려줘,,,,2,구글Play스토어고객센터(0.4923197),콘텐츠이용료구매내역확인방법(0.43350555),"휴대폰결제이용동의신청방법(0.425815225)
"
4063,전에 아이폰을 사용했다가 폰을 바꿨어요,"('아이폰기기변경상담', 0.74)","('아이폰관련', 0.574)","('휴대폰기기변경방법', 0.574)",2,아이폰기기변경상담(0.4799137),T안심보상(0.453289865),휴대폰기기변경방법(0.4413336)
4064,소리샘비밀번호알수있을까요,"('소리샘서비스비밀번호', 0.756)","('소리샘서비스', 0.554)","('소리샘서비스청취방법', 0.551)",2,소리샘서비스비밀번호(0.49731115),소리샘서비스청취방법(0.493024765),소리샘서비스(0.491491825)
4065,장기 가입 쿠폰은 무슨 쿠폰이야?,"('장기가입고객할인제도', 0.74)","('유선장기일시정지', 0.632)","('장기미사용휴대폰결제차단', 0.601)",2,T데이터쿠폰등록방법(0.485485375),T데이터쿠폰사용기간(0.4841732),T데이터쿠폰등록기간(0.48302715)
4066,약정 할인 되나요?,"('요금약정할인제도', 0.609)","('데이터결합약정할인', 0.521)",,2,"요금약정할인제도(0.89699936)
",,
4067,휴대폰 결제 청구할인,"('T로밍카드결제수단', 0.48)",,,2,휴대폰결제이용가능대상(0.45846802),"휴대폰결제이용동의신청방법(0.4196066)
",
4068,상담원과 직접통화를 원합니다,"('전화상담사연결', 0.661)","('SK텔레콤고객센터운영시간', 0.489)","('제조사AS센터연락처', 0.48)",2,전화상담사연결(0.47702718),SK텔레콤고객센터운영시간(0.45993255),ONEstore고객센터(0.450793415)
4069,재약정 하려고 합니다,"('선택약정할인제도재가입조건', 0.531)",,,2,"요금약정할인제도(0.81327623)
",,
4070,데이터로밍무조건차단후 baro통화,"('데이터로밍무조건허용', 0.54)","('데이터로밍차단시통화문자이용', 0.454)",,2,데이터로밍무조건허용(0.47099825),데이터로밍차단해지(0.4420404),데이터로밍차단시Wi-Fi이용(0.4247458)
4071,t전화 알림 모드,,,,2,T전화이용방법(0.472939075),T전화(0.4727671),T전화아이폰(0.467922865)
4072,베이비,,,,2,"BtvTV앱(0.8949085)
",,
4073,문자전송이안됨니다,"('휴대폰문자수발신실패조치방법', 0.661)","('휴대폰MMS수발신실패조치방법', 0.584)","('문자메시지서비스', 0.532)",2,일500건SMS발송량제한(0.4886046),문자메시지서비스(0.4762759),문자매니저(0.47526777)
4074,선택약정 가입 방법은,"('선택약정할인제도가입조건', 0.695)","('선택약정할인제도가입불가요금제', 0.494)","('Btv선택', 0.494)",2,선택약정할인제도가입조건(0.49671365),선택약정할인제도할인반환금부과대상(0.4926099),선택약정할인제도가입불가요금제(0.491885335)
4075,미납요금은매월21일까지처리할테니~그리알아두세요,"('미납이용정지', 0.472)",,,2,SKT미납센터연락처(0.46735285),미납이용정지(0.4475428),미납직권해지(0.40563208)
4076,콘텐츠 이용료 상세표시,,,,2,콘텐츠이용료구매내역확인방법(0.48970725),콘텐츠이용료가능대상(0.45251105),휴대폰결제이용동의신청방법(0.4387346)
4077,할부개월수,"('단말기할부', 0.459)",,,2,단말기할부(0.49535388),"단말기할부금중도납부방법(0.467420665)
",
4078,납부가 12일에 가능해요,,,,2,부가사용금액(0.4608019),과납(0.4599999),편의점요금납부(0.44612165)
4079,상담을 원해,"('전화상담사연결', 0.591)","('퀵보이스', 0.479)","('퀵보이스차단서비스', 0.479)",2,전화상담사연결(0.488538025),SK텔레콤고객센터운영시간(0.478530735),ONEstore고객센터(0.462329625)
4080,미납상담사,"('SKT미납센터연락처', 0.662)","('미납이용정지', 0.499)","('과납', 0.451)",2,SKT미납센터연락처(0.49517325),미납이용정지(0.46348155),미납직권해지(0.4502829)
4081,데이터 쿠폰을 주셩,"('Btv쿠폰', 0.667)","('T쿠폰', 0.615)",,2,T데이터쿠폰사용기간(0.49472515),T데이터쿠폰등록기간(0.4918968),T데이터쿠폰등록방법(0.49122855)
4082,미납요금 납부햇는데 미납해지좀해주세요,"('미납직권해지', 0.49)","('미납이용정지', 0.463)","('SKT미납센터연락처', 0.457)",2,SKT미납센터연락처(0.4803882),미납이용정지(0.4522263),SKT해지미납센터연락처(0.44756472)
4083,요금이발생하니?이거?,,,,2,과납(0.406391),"세금계산서신청방법(0.403787165)
",
4084,3655  8401 미납요금,,,,2,SKT미납센터연락처(0.483284385),미납이용정지(0.4553792),미납직권해지(0.4286149)
4085,미납요금 납부 가능일 문의 13일,,,,2,SKT미납센터연락처(0.48216025),미납이용정지(0.45717955),미납직권해지(0.4334765)
4086,특정번호만 발신연결안되는건 왜일까요?,"('휴대폰특정번호전화발신불가조치방법', 0.574)","('휴대폰특정번호전화수신불가조치방법', 0.498)","('휴대폰특정번호문자수신실패조치방법', 0.487)",2,휴대폰특정번호전화발신불가조치방법(0.48464033),휴대폰특정번호전화수신불가조치방법(0.48349055),휴대폰특정번호문자수신실패조치방법(0.4820405)
4087,반납했는데 미납했다고 옴,"('반납관련', 0.722)","('임대로밍반납방법', 0.662)","('분실안심990투플러스임대폰반납', 0.575)",2,SKT미납센터연락처(0.44279468),SKT해지미납센터연락처(0.4187137),미납이용정지(0.41626275)
4088,16일에 청구서를 제출할 수 있어요,"('각종업무구비서류', 0.48)","('이용계약증명서발급방법', 0.461)",,2,요금안내서변경방법(0.470026225),요금안내서발행유형자동변경해제방법(0.46200925),"요금안내서재발행방법(0.45246135)
"
4089,수급권자 할인요금청구요,,,,2,단말기자급제도(0.470225215),기초생활수급자복지할인제도(0.44815895),"휴대폰긴급전화표시조치방법(0.43878355)
"
4090,단말기 일시납,"('단말기할부금중도납부방법', 0.503)",,,2,"요금납부일확인방법(0.9084378)
",,
4091,16441813 번호 문자수신이 안돼요,,,,2,번호도용문자차단(0.442762225),"번호도용문자차단신청방법(0.436149865)
",
4092,단말기값 없는데도 그렇게 마니 나오나요?,,,,2,"단말기할부금중도납부방법(0.8204738)
",,
4093,미납상담원,"('SKT미납센터연락처', 0.656)","('미납이용정지', 0.462)",,2,SKT미납센터연락처(0.4944411),미납이용정지(0.45839903),미납직권해지(0.44926873)
4094,미납요금 날짜를 정하고싶어,"('요금납부일확인방법', 0.482)","('미납이용정지', 0.453)",,2,SKT미납센터연락처(0.474931865),미납이용정지(0.462281465),SKT해지미납센터연락처(0.41880695)
4095,요금 나오는날. 한번만 보내주세요. 어디뭐. 빛쟁이도 아니고,,,,2,"요금납부일확인방법(0.82018745)
",,
4096,데이터가 잘 안 되는지 통화가 안 와요,,,,2,"데이터통화료상한제도(0.8085508)
",,
4097,콘테츠 이용관련,"('동영상관련', 0.457)",,,2,콘텐츠이용료구매내역확인방법(0.46574825),콘텐츠이용료가능대상(0.45987865),"콘텐츠이용료결제취소방법(0.40937015)
"
4098,쿠폰사용,"('Btv쿠폰', 0.677)","('T쿠폰', 0.617)","('T쿠폰고객센터', 0.45)",2,T데이터쿠폰사용기간(0.492324025),T쿠폰구매방법(0.49155415),T데이터쿠폰등록방법(0.4894456)
4099,15일납부가능요,,,,2,"요금납부일확인방법(0.9177513)
",,
4100,납입 25일,,,,2,"요금납부일확인방법(0.91768086)
",,
4101,미납요금 납부 예정일 등록,"('요금납부일확인방법', 0.509)","('SKT미납센터연락처', 0.463)",,2,SKT미납센터연락처(0.47489962),미납이용정지(0.4592016),SKT해지미납센터연락처(0.4273449)
4102,선택약정할인 요청 드립니다,"('선택약정할인제도가입조건', 0.592)","('Btv선택', 0.54)","('선택약정할인제도가입불가요금제', 0.538)",2,선택약정할인제도가입조건(0.49766618),선택약정할인제도할인반환금부과대상(0.494508685),선택약정할인반환금면제대상(0.493911685)
4103,9월분 카드납부,"('단말기할부금중도납부방법', 0.518)","('OK캐쉬백납부', 0.513)","('결제관련', 0.464)",2,"동일신용카드월5회수납제한(0.8270457)
",,
4104,11월25일 납부가능합니다,,,,2,"요금납부일확인방법(0.8594834)
",,
4105,해외에서 다른 사람한테 전화하려면 어떻게 해야돼??,"('로밍한사람간통화요금', 0.485)",,,2,T로밍청구내역서(0.4641324),로밍한사람간통화요금(0.43753155),로밍중발신번호표시(0.43623685)
4106,당월청구요금과 실시간이용요금으로 구분되어 있는데요,"('실시간요금상세내역', 0.521)",,,2,실시간요금상세내역(0.40999803),과납(0.40979425),휴대폰결제연체가산금(0.40790355)
4107,인터넷 속도가 느려서 확인해보려구요,"('유선인터넷속도저하조치방법', 0.685)","('휴대폰데이터속도저하조치방법', 0.627)","('속도관련', 0.485)",2,유선인터넷속도저하조치방법(0.49107825),유선인터넷품질측정(0.45898995),Wavve속도제어해제(0.42947358)
4108,통화중 수신번호 표시,"('SMSMMS발신자번호확인', 0.466)",,,2,통화중대기서비스(0.4145839),"통화중대기서비스신청방법(0.407787175)
",
4109,재약정 하고싶어요,"('선택약정할인제도재가입조건', 0.534)",,,2,"요금약정할인제도(0.8257576)
",,
4110,직접  상담해주세요  내용이  길으니까요.,,,,2,전화상담사연결(0.4381765),"SK텔레콤고객센터운영시간(0.4129009)
",
4111,단말기 교체,"('휴대폰기기변경방법', 0.679)","('5G기기변경방법', 0.544)","('중고기기변경방법', 0.521)",2,휴대폰기기변경방법(0.4905843),단말기교품(0.48002615),중고기기변경방법(0.46876825)
4112,정확한 정지 날짜,"('정지관련', 0.593)","('일시정지', 0.492)",,2,일시정지(0.46828708),유선일시정지신청/해제방법(0.45982875),"일시정지해제방법(0.447547225)
"
4113,응 알겠어 미납 문의 할게!,"('SKT미납센터연락처', 0.597)","('미납이용정지', 0.523)","('과납', 0.495)",2,SKT미납센터연락처(0.48975685),미납이용정지(0.460284325),미납직권해지(0.443454175)
4114,11월 30일에 입금,,,,2,"과납(0.8790938)
",,
4115,문자발송한도,"('일500건SMS발송량제한', 0.531)","('로밍문자사용량SMS', 0.523)","('애플콘텐츠이용료결제이용한도', 0.505)",2,일500건SMS발송량제한(0.492281375),문자메시지서비스(0.485592065),등기문자(0.4847573)
4116,연락처가 전부 삭제되서  다시 받을수있는방법이 있을까요?,,,,2,"휴대폰결제대행사연락처(0.8661705)
",,
4117,내정보지키이 해지할려고요,"('내정보지키미해지방법', 0.741)",,,2,내정보지키미해지방법(0.47821605),PASS신용지키미해지방법(0.4675916),내정보지키미신청방법(0.465697975)
4118,국제전화 설정은 어떻게 하나요?,"('국제전화알림Biz레터링', 0.466)",,,2,국제전화알림Biz레터링(0.490536125),국제전화청구주기(0.48943338),국제전화사업자선택(0.4855076)
4119,청구요금 궁금해요,,,,2,"요금안내서재발행방법(0.80613595)
",,
4120,법인폰사용자등록,"('법인본인확인비밀번호서비스신청방법', 0.568)","('법인위임대리인신청방법', 0.492)",,2,법인폰요금안내서신청_변경방법(0.45669362),"법인폰청구요금조회방법(0.4246633)
",
4121,현지시간이 적용안됨,,,,2,"실시간요금상세내역(0.8378948)
",,
4122,미납 납븐 확인요,"('SKT미납센터연락처', 0.5)",,,2,SKT미납센터연락처(0.46121035),미납이용정지(0.44991755),"미납직권해지(0.400585385)
"
4123,컨텐츠 이용료가나왔는데요,,,,2,콘텐츠이용료구매내역확인방법(0.4901541),콘텐츠이용료가능대상(0.45422265),콘텐츠이용료결제취소방법(0.42681733)
4124,이전번호로 문자간 내용 알 수 있나요?,,,,2,태블릿번호확인방법(0.43453135),휴대폰번호보호신청방법(0.4159298),"번호이동제도(0.41297835)
"
4125,미성년 자녀 휴대폰 일시 중지,"('Btv자녀안심설정방법', 0.517)","('미성년자관련', 0.462)","('T자녀안심', 0.456)",2,일시정지(0.446227225),"유선일시정지신청/해제방법(0.40838755)
",
4126,계좌를 알려주세요,,,,2,"SK텔레콤고객센터운영시간(0.80987155)
",,
4127,문자 이용서비스 현재 가능,"('문자메시지서비스', 0.714)","('MMS', 0.594)","('메시지관련', 0.588)",2,문자매니저(0.4798011),문자메시지서비스(0.4792292),스팸문자(0.47717715)
4128,e유심,,,,2,USIM카드구매방법(0.44155213),로밍중USIM변경(0.43817205),USIM기기변경방법(0.4377841)
4129,미납이랑 이버달 요금요,"('과납', 0.486)","('SKT미납센터연락처', 0.457)",,2,SKT미납센터연락처(0.4424719),"미납이용정지(0.4272474)
",
4130,11월10일납부가능합니다,,,,2,"요금납부일확인방법(0.8125863)
",,
4131,t전화를 설정했는데 통화음질이 안좋아진것 같아요,"('T전화설정방법', 0.494)",,,2,T전화모드유지(0.4740274),T전화스팸기능(0.47271385),T전화음성으로전화하기(0.47196755)
4132,혹시 실수로 지운 연락처 복원할방법이 있을까요,"('T전화채티대화이력삭제', 0.478)",,,2,휴대폰결제대행사연락처(0.441586675),"SK텔레콤고객센터운영시간(0.40557173)
",
4133,가능한  계좌번호 주세요.,,,,2,SK텔레콤고객센터운영시간(0.44123055),전화상담사연결(0.42527985),타통신사고객센터(0.4232317)
4134,데이터 다 쓰면 더 못 써?,"('데이터추가사용방법', 0.552)","('자녀데이터사용량조회방법', 0.505)",,2,데이터통화료상한제도(0.43249485),"데이터추가사용방법(0.4141637)
",
4135,포인트를납부했는데 청구월이 없어,,,,2,레인보우포인트사용방법(0.4314239),레인보우포인트적립(0.4273069),레인보우포인트(0.424977035)
4136,sk텔레콤이란,,,,2,T멤버십구매상품(구.초콜릿)상담센터(0.42266475),전화상담사연결(0.4047741),"타통신사고객센터(0.4034534)
"
4137,제주 렌트카 난 그냥 당신 인생 첫 번째 앨범,,,,2,"제주도프리(0.9273756)
",,
4138,누구앱이 뭐야?,"('NUGU서비스', 0.663)","('BtvNUGU이용방법', 0.629)","('BtvNUGU', 0.62)",2,NUGU서비스블루투스연결방법(0.47862202),NUGU서비스(0.47724262),NUGU서비스아이디비밀번호찾기(0.46872855)
4139,전화가 통화중 자주 끊겨 불편함이 심해  중계시설이 필요함.  안되면 다른 통신사로 옮겨야 겠음,"('중계기설치후휴대폰사용불가조치방법', 0.53)","('휴대폰중계기설치', 0.455)",,2,휴대폰통화끊김조치방법(0.43480757),"휴대폰데이터끊김조치방법(0.42422595)
",
4140,이거 로밍 브로에서 사용 가능 한가요?,"('T전화baro이용방법', 0.487)",,,2,T로밍청구내역서(0.47269425),로밍한사람간통화요금(0.46812725),로밍통화요금(0.4612917)
4141,요금을 다 낸거 갚은데. 자꾸 미납이라고 하니,"('단말기할부금중도납부방법', 0.622)","('과납', 0.578)","('휴대폰결제연체가산금', 0.532)",2,"SKT미납센터연락처(0.81942993)
",,
4142,자동 데이터 선물은 어떻게 해?,"('가족간데이터자동선물하기', 0.727)","('가족간데이터자동선물발송시점', 0.656)","('T끼리데이터선물하기알림', 0.491)",2,가족간데이터자동선물하기(0.49778667),T끼리데이터선물하기대상(0.4942803),T끼리데이터선물하기연령(0.49360928)
4143,미납금 분할로가능할지요?,"('단말기할부금중도납부방법', 0.495)","('과납', 0.491)",,2,SKT미납센터연락처(0.486647725),미납이용정지(0.465403825),미납직권해지(0.43896745)
4144,flo 요금제 할인 결제,"('FLO', 0.568)","('FLO프로모션혜택', 0.545)","('FLO이용방법', 0.537)",2,FLO(0.434717775),FLO이용방법(0.4345524),"FLO신청방법(0.43125815)
"
4145,통회중 걸려오는 전화 확인하는 서비스 가입,"('통화중대기서비스신청방법', 0.539)","('가입상담예약방법', 0.507)",,2,통화중대기서비스(0.45039502),통화중대기서비스신청방법(0.443844525),통화중대기서비스해지방법(0.4275466)
4146,선택약정 가입하고 싶습니다.,"('선택약정할인제도가입조건', 0.653)","('선택약정할인제도가입불가요금제', 0.515)","('Btv선택', 0.507)",2,선택약정할인제도가입조건(0.4962026),선택약정할인제도재가입조건(0.49428615),선택약정할인제도할인반환금부과대상(0.49179262)
4147,sk   브로드밴드는   어디다  연락해야  하나요?,,,,2,SK브로드밴드고객센터(0.491901575),band데이터요금제(0.479495375),"band데이터6.5G(0.45222575)
"
4148,다른 날짜로 납부 가능할까요,"('요금납부일변경방법', 0.484)",,,2,"요금납부일확인방법(0.9453999)
",,
4149,납부이용계좌,,,,2,세금계산서신청방법(0.465385525),세금계산서재발행방법(0.450757025),과납(0.446061)
4150,11월6일 납부한 금액은?,"('요금수납내역확인방법', 0.513)","('유선요금납부내역확인방법', 0.452)",,2,"요금납부일확인방법(0.8185769)
",,
4151,소액결제는 가능한가요,"('결제관련', 0.648)","('앱스토어결제수단', 0.595)","('Skpay결제방법', 0.527)",2,휴대폰결제이용가능대상(0.45392987),휴대폰결제이용제한방법(0.4468208),"휴대폰결제이용차단(0.43261558)
"
4152,요금 할인되다고 해어요,"('SK텔레콤할인혜택', 0.615)",,,2,세금계산서신청방법(0.42804505),"세금계산서재발행방법(0.411539)
",
4153,선택약정 할인받을려고 합니다,"('선택약정할인제도가입조건', 0.606)","('선택약정할인제도가입불가요금제', 0.526)","('Btv선택', 0.494)",2,선택약정할인제도가입조건(0.494250925),선택약정할인제도할인반환금부과대상(0.49243715),선택약정할인제도재가입조건(0.491031675)
4154,부과서비스 이용되고있던데,,,,2,부가서비스가입내역확인방법(0.469323875),단말보험해지방법(0.4294902),휴대폰보험보상신청방법(0.4218402)
4155,출국하기 하루전에 신청해도 되나요?,"('T로밍카드등록방법', 0.57)","('가입상담예약방법', 0.524)","('예약관련', 0.465)",2,"이용계약증명서발급방법(0.8610674)
",,
4156,현재 대만 출장 중 입니다,,,,2,개통대리점조회방법(0.41146235),"영업장위치확인(0.40529255)
",
4157,갤럭시 파손50,"('파손3i파손50', 0.657)","('파손2i50', 0.628)","('TAll케어플러스2i파손50', 0.568)",2,분실파손3i보급(0.40560913),분실파손3i고급(0.400834085),"분실파손3(0.4007094)
"
4158,대기 부가서비스,"('통화중대기서비스', 0.62)","('T_통화중대기', 0.602)",,2,T_통화중대기(0.44187212),통화중대기서비스신청방법(0.4307405),통화중대기서비스(0.42136988)
4159,미납요금등록,"('SKT미납센터연락처', 0.536)","('미납이용정지', 0.513)",,2,SKT미납센터연락처(0.4916933),미납이용정지(0.465335665),미납직권해지(0.45504558)
4160,요금이 왜많이나왓나요?,"('부가사용금액', 0.478)",,,2,부가사용금액(0.443653315),편의점요금납부(0.43812567),요금수납내역확인방법(0.4374972)
4161,데이터자동선물받기,"('가족간데이터자동선물하기', 0.728)","('가족간데이터자동선물발송시점', 0.694)",,2,T끼리데이터선물하기비용(0.4916714),가족간데이터자동선물하기(0.4913107),T끼리데이터선물하기대상(0.491161)
4162,통화중 음원은 왜 해지 되었는지요?,"('T전화탈퇴및서비스미사용', 0.505)","('Btv월정액해지방법', 0.493)","('이동전화해지방법', 0.489)",2,통화중대기서비스해지방법(0.407319),"통화중대기서비스(0.4008491)
",
4163,저번달 요금 냈잖아요,"('요금수납내역확인방법', 0.509)",,,2,T플랜레귤러(0.44764895),채티서비스(0.44187515),퀵보이스신청방법(0.4412402)
4164,T올케어 해지신청,"('T아이폰케어해지방법', 0.616)","('ZEM플러스웅진스마트올해지방법', 0.581)","('오토콜해지방법', 0.522)",2,단말보험해지방법(0.4560631),단말보험가입방법(0.4381757),"휴대폰보험보상신청방법(0.43165005)
"
4165,요금이 많이 나왔나요,,,,2,요금부분납부방법(0.461055515),요금수납내역확인방법(0.4574894),기타요금(0.44634785)
4166,부가사용액은 무엇이죠,"('부가사용금액', 0.72)","('데이터추가사용방법', 0.507)","('추가관련', 0.473)",2,부가사용금액(0.493419825),편의점요금납부(0.4538938),요금수납내역확인방법(0.44098435)
4167,해지부탁합니다,"('이동전화해지방법', 0.617)","('예상해지금액', 0.611)","('철회', 0.575)",2,이동전화해지방법(0.4843905),자동납부해지방법(0.46214295),"유선해지방법(0.43126675)
"
