query,n_rank1,n_rank2,n_rank3,count,p_rank1,p_rank2,p_rank3,f_rank1,f_rank2,f_rank3
로밍안내방송서비스 요금이 있나요?,"('T쿠폰 고객센터', 0.593)","('전화 상담사 연결', 0.588)","('T로밍 고객센터', 0.574)",2,T로밍청구내역서(0.44034487),로밍한사람간통화요금(0.435606925),로밍문자요금(0.429988625),"('자동안심 T로밍 음성', 0.408)",,
다른사람이 내번호를써요,"('번호도용문자차단', 0.983)","('번호도용문자차단 신청 방법', 0.974)","('번호도용문자차단 해지 방법', 0.952)",2,"다른번호문의(0.92013603)
",,,"('다른 번호 문의', 0.575)","('발신번호 관련', 0.412)","('태블릿 번호 확인 방법', 0.41)"
집 티비 약정,"('요금제 변경 가능일 알림 서비스', 0.895)","('요금제 변경 가능일 알림 서비스 신청 방법', 0.893)","('유선 상품 변경 방법', 0.885)",2,"유선이전설치(0.84594595)
",,,"('인터넷 TV 가입(타사)', 0.48)","('TB끼리 TV플러스 신청 방법', 0.457)","('요금약정 할인제도', 0.433)"
애플 기본 전화로 전화할 경우 baro통화 적용되어 무료인가요??,"('애플 콘텐츠 이용료 이용 방법', 0.964)","('애플 콘텐츠 이용료', 0.955)","('애플 콘텐츠 이용료 결제 내역 확인 방법', 0.932)",2,애플콘텐츠이용료이용방법(0.48589733),애플콘텐츠이용료(0.4783549),애플콘텐츠이용료결제내역확인방법(0.47521183),"('T전화 baro 이용 방법', 0.451)","('로밍 통화 요금', 0.412)","('T전화 음성으로 전화하기', 0.401)"
직원 연결해,"('전화 상담사 연결', 0.933)","('A.', 0.892)","('SK텔레콤 고객센터 운영 시간', 0.858)",2,전화상담사연결(0.42374757),SK텔레콤고객센터운영시간(0.41909135),타통신사고객센터(0.408744125),"('전화 상담사 연결', 0.722)","('SK텔레콤 고객센터 운영 시간', 0.668)","('연결 관련', 0.551)"
문자 전송 안됨,"('문자메시지 서비스', 0.954)","('해외 SMS 서비스', 0.935)","('휴대폰 문자 수발신 실패 조치 방법', 0.932)",2,일500건SMS발송량제한(0.48321),등기문자(0.48155905),문자메시지서비스(0.47542155),"('휴대폰 문자 수발신 실패 조치 방법', 0.833)","('휴대폰 MMS 수발신 실패 조치 방법', 0.548)","('메시지 관련', 0.521)"
폰.결제일은 언제인가요,"('요금 납부일 변경 방법', 0.967)","('유선 요금 납부일 변경 방법', 0.941)","('요금 납부일 확인 방법', 0.939)",2,"요금납부일확인방법(0.8527608)
",,,"('요금 납부일 확인 방법', 0.795)","('휴대폰 개통일 확인 방법', 0.636)","('요금 납부일 변경 방법', 0.548)"
휴대폰결제 대행사 연락처 알려 줘,"('휴대폰 결제 대행사 연락처', 0.982)","('개통 대리점 조회 방법', 0.744)","('법인 위임대리인', 0.73)",2,휴대폰결제대행사연락처(0.449886),"ONEstore고객센터(0.42215725)
",,"('휴대폰 결제 대행사 연락처', 0.939)","('Sk pay 가맹점 확인 방법', 0.414)","('SK pay 고객센터', 0.411)"
휴대폰 결제 한도 향상,"('애플 콘텐츠 이용료 결제 이용 한도', 0.97)","('법인 휴대폰 결제 이용 한도', 0.924)","('OK캐쉬백', 0.546)",2,휴대폰결제이용가능대상(0.438399585),"휴대폰결제이용동의신청방법(0.41448545)
",,"('법인 휴대폰 결제 이용 한도', 0.56)","('애플 콘텐츠 이용료 결제 이용 한도', 0.502)",
아들전화기 선택약정 재가입입니다,"('선택약정 할인제도 재가입 조건', 0.674)","('원스토리 앤 데이터', 0.589)","('분실파손2 i보급', 0.588)",2,선택약정할인제도만료문자발송시기(0.4741319),선택약정할인제도가입조건(0.46459973),선택약정할인제도할인반환금부과대상(0.4588283),"('선택약정 할인제도 재가입 조건', 0.612)","('군입대 장기 일시 정지 재신청 방법', 0.459)",
가입이되어서요,"('신규가입 구비서류', 0.89)","('개통 관련', 0.833)","('다른 번호 문의', 0.794)",2,이동전화가입제한(0.457937775),가입상담예약방법(0.44238317),"이용계약증명서발급방법(0.43587622)
","('등록 관련', 0.545)","('개통 관련', 0.532)","('신규가입 구비서류', 0.495)"
상세한 내역 보여주세요,"('통신자료제공', 0.854)","('요금 수납 내역 확인 방법', 0.787)","('내정보지키미', 0.784)",2,"부가사용금액(0.8682742)
",,,"('실시간 요금 상세 내역', 0.641)","('요금 수납 내역 확인 방법', 0.622)","('부가서비스 가입내역 확인 방법', 0.507)"
통신료납부카드등록,"('등록 관련', 0.753)","('Tworld 아이디 비밀번호 찾기 방법', 0.703)","('주민등록번호 정정', 0.671)",2,동일신용카드월5회수납제한(0.47017),"제휴카드할인(0.43360765)
",,"('동일 신용카드 월 5회 수납 제한', 0.48)",,
114로 해야겠군요,"('전화 상담사 연결', 0.83)","('T쿠폰 고객센터', 0.827)","('T로밍 고객센터', 0.814)",2,"전화상담사연결(0.86515117)
",,,"('T전화 T114 이용 방법', 0.655)","('전화 상담사 연결', 0.62)","('SK텔레콤 고객센터 운영 시간', 0.46)"
약정할인 12개월로 신청 합니다,"('T로밍 데이터 12시간 옵션 변경', 0.956)","('T로밍 데이터 12시간', 0.955)","('New T 아이폰파손12', 0.896)",2,"요금약정할인제도(0.9090477)
",,,"('요금약정 할인제도', 0.587)","('데이터결합약정할인 신청 방법', 0.475)","('선택약정 할인제도 약정 기간 변경', 0.473)"
구글주소찾아줘,"('요금안내서 주소 변경 방법', 0.768)","('개통이력 단말기 피해보상 신청 방법', 0.752)","('개통이력 단말기 피해보상제도', 0.743)",2,구글Play스토어고객센터(0.4771381),"콘텐츠이용료구매내역확인방법(0.40989195)
",,"('구글 Play 스토어 고객센터', 0.658)","('위치 관련', 0.507)","('친구찾기 서비스 위치 조회 방법', 0.497)"
유심단독개통 해지신청,"('USIM 카드 교품 방법', 0.901)","('USIM기변 방법', 0.896)","('USIM 카드 구매 방법', 0.871)",2,USIM기기변경방법(0.4518323),USIM카드교품방법(0.441962035),휴대폰보호서비스신청방법(0.438378425),"('개별통화수신거부 해지 방법', 0.488)","('휴대폰 보호 서비스 해지 방법', 0.472)",
금액이,"('구매 관련', 0.81)","('장비변상금', 0.777)","('A.', 0.761)",2,부가사용금액(0.4752093),편의점요금납부(0.451824725),과납(0.4305349),"('요금제문의', 0.621)","('결제 관련', 0.553)","('단말기 할부', 0.526)"
미납요금 카드납뷰,"('SKT 미납센터 연락처', 0.935)","('과납', 0.918)","('미납 이용정지', 0.898)",2,SKT미납센터연락처(0.45908495),미납이용정지(0.42434465),미납직권해지(0.423903165),"('요금 수납 내역 확인 방법', 0.43)","('OK캐쉬백 납부', 0.427)",
국제전화 설정방법,"('국제전화 사업자 선택', 0.991)","('국제전화 알림 Biz 레터링', 0.99)","('국제전화수신거부 서비스', 0.989)",2,국제전화알림Biz레터링(0.49072355),국제전화청구주기(0.487234235),국제전화사업자선택(0.479290365),"('국제전화 알림 Biz 레터링', 0.552)","('로밍 중 전화 발신 방법', 0.53)","('국제전화 사업자 선택', 0.522)"
7일 로잉 신청으로 이어서 사용가능한가요?,"('FLO 유료 이용권 해지 방법', 0.589)","('FLO 해지 방법', 0.586)","('FLO 앤 데이터 해지 방법', 0.582)",2,로밍한사람간통화요금(0.42678905),로밍중발신번호표시(0.419823825),T로밍청구내역서(0.41678348),,,
삼성카드 월 30만원 사용시 할인이 적용안되었네요,"('동일 신용카드 월 5회 수납 제한', 0.863)","('원패스 옵션 변경', 0.746)","('원패스 제공 국가', 0.739)",2,동일신용카드월5회수납제한(0.440142425),"제휴카드할인(0.4333235)
",,"('동일 신용카드 월 5회 수납 제한', 0.509)","('베이직플러스30GB업', 0.42)","('T멤버십 가맹점 및 사용 방법', 0.419)"
해외에서 문자하는 법,"('문자메시지 서비스', 0.966)","('해외 SMS 서비스', 0.958)","('휴대폰 문자 수발신 실패 조치 방법', 0.958)",2,해외SMS서비스(0.44723745),로밍문자요금(0.44454805),"로밍중인증문자수신(0.40230705)
","('해외 SMS 서비스', 0.725)","('해외 MMS 서비스', 0.669)","('Tworld 문자 보내기 이용 방법', 0.511)"
로밍했는데 연결이 안됨,"('집전화 수발신 불가 조치 방법', 0.895)","('NUGU 서비스 앱 디바이스 연결 실패 조치 방법', 0.868)","('T전화 오류문의', 0.852)",2,로밍통화요금발생시점(0.4095982),로밍중휴대폰기능사용요금(0.4060823),"로밍중전화발신방법(0.40336135)
","('T로밍 고객센터', 0.457)","('로밍 중 전화 발신 방법', 0.442)","('로밍 통화 요금 발생 시점', 0.44)"
t청소년 앱 삭제,"('미성년자 요금제 변경 방법', 0.838)","('미성년자 로밍', 0.83)","('B tv 자녀 안심 설정 방법', 0.826)",2,T청소년안심서비스(0.47515685),자녀요금통보서비스해지방법(0.447051885),가입정보조회(0.43569945),"('T청소년 안심팩 서비스 해지 방법', 0.571)","('T청소년안심서비스', 0.487)",
미납요금 문의할게,"('SKT 미납센터 연락처', 0.941)","('미납 이용정지', 0.91)","('과납', 0.894)",2,SKT미납센터연락처(0.493270515),미납이용정지(0.45854667),미납직권해지(0.45496297),"('SKT 미납센터 연락처', 0.751)","('미납 이용정지', 0.687)","('가산금', 0.642)"
T전화 해제,"('데이터 로밍 차단 해지', 0.981)","('착신금지 서비스 해지 방법', 0.962)","('데이터 로밍 차단 시 통화 문자 이용', 0.96)",2,T전화이용방법(0.470124185),T전화설정방법(0.47003868),T전화모드유지(0.468672215),"('T전화 탈퇴 및 서비스 미사용', 0.73)","('T전화 모드 유지', 0.512)","('T전화', 0.486)"
로밍 내역 이메일 송부,"('이메일 상담', 0.904)","('휴대폰 MMS 다운로드 실패 조치 방법', 0.886)","('T로밍 청구내역서', 0.876)",2,T로밍청구내역서(0.45113245),"로밍문자요금(0.4081189)
",,"('T로밍 청구내역서', 0.766)","('수납이력서 재발행 방법', 0.46)","('T로밍 도착알리미', 0.445)"
납부날짜 입력하고 싶어요,"('요금 납부일 변경 방법', 0.905)","('요금 납부일 확인 방법', 0.901)","('유선 요금 납부일 변경 방법', 0.869)",2,"요금납부일확인방법(0.98900324)
",,,"('요금 납부일 확인 방법', 0.785)","('요금 납부일 변경 방법', 0.73)","('수납이력서 재발행 방법', 0.468)"
이번달 말에 납부하겠습니다,"('요금 부분 납부 방법', 0.841)","('과납', 0.839)","('SKT 미납센터 연락처', 0.72)",2,요금부분납부방법(0.4746467),요금수납내역확인방법(0.4733276),편의점요금납부(0.4718043),"('단말기 할부금 중도 납부 방법', 0.684)","('요금 납부일 확인 방법', 0.583)","('요금 납부일 변경 방법', 0.517)"
다른번호도 있는데요,"('번호도용문자차단', 0.968)","('번호도용문자차단 신청 방법', 0.959)","('번호도용문자차단 해지 방법', 0.95)",2,"다른번호문의(0.9706844)
",,,"('다른 번호 문의', 0.797)","('넘버플러스2', 0.613)","('발신번호 관련', 0.562)"
문자보네기,"('문자메시지 서비스', 0.982)","('해외 SMS 서비스', 0.972)","('MMS', 0.958)",2,문자매니저(0.48425095),문자메시지서비스(0.48247375),등기문자(0.4797887),"('문자메시지 서비스', 0.642)","('문자매니저', 0.638)","('안심문자', 0.595)"
11월30일 납부가능합니다,"('과납', 0.735)","('요금 부분 납부 방법', 0.708)","('SKT 미납센터 연락처', 0.619)",2,"요금납부일확인방법(0.81696653)
",,,"('요금 납부일 확인 방법', 0.644)","('요금 납부일 변경 방법', 0.572)","('단말기 할부금 중도 납부 방법', 0.533)"
해외발신전화 차단,"('퀵보이스 차단 서비스', 0.952)","('휴대폰결제 이용 제한 해제 방법', 0.939)","('무선인터넷 차단', 0.934)",2,국제전화발신금지(0.468072025),발신금지서비스신청방법(0.4296198),발신금지서비스해지방법(0.41035015),"('국제전화 발신 금지', 0.628)","('국제전화수신거부 서비스', 0.575)","('발신금지 서비스', 0.497)"
10살인데,"('자녀요금통보서비스', 0.742)","('미성년자 관련', 0.735)","('자녀 요금 조회 방법', 0.73)",2,팅요금제자동변경시기(0.46975973),미성년자요금제변경방법(0.4545296),가입정보조회(0.453740865),"('미성년자 관련', 0.751)","('T끼리 데이터 선물하기 연령', 0.493)","('팅 요금제 자동 변경 시기', 0.442)"
고객센터 전화번호좀,"('전화 상담사 연결', 0.931)","('T쿠폰 고객센터', 0.89)","('T로밍 고객센터', 0.886)",2,SK텔레콤고객센터운영시간(0.4895513),타통신사고객센터(0.4848397),ONEstore고객센터(0.4817832),"('SK텔레콤 고객센터 운영 시간', 0.763)","('제조사 AS 센터 연락처', 0.684)","('전화 상담사 연결', 0.673)"
신용카드 납부 어찌 하나요?,"('동일 신용카드 월 5회 수납 제한', 0.913)","('제휴카드 할인', 0.764)","('간편결제 서비스', 0.711)",2,동일신용카드월5회수납제한(0.489563585),"제휴카드할인(0.44979945)
",,"('Sk pay 결제 방법', 0.591)","('통신과금 선결제 이용 방법', 0.523)","('T로밍 카드 결제 수단', 0.517)"
성원이신고해줘,"('이름 관련', 0.613)","('휴대폰 결제 이용가능 대상', 0.597)","('T플랜 시니어 에센스', 0.591)",2,T청소년안심서비스(0.45542315),자녀요금조회방법(0.4498218),자녀요금통보서비스(0.445798875),,,
갤럭시 파손50,"('파손3 i파손50', 0.937)","('T All케어플러스3 i파손50', 0.892)","('T All케어플러스3 패밀리 i파손50', 0.887)",2,분실파손3i보급(0.40560913),분실파손3i고급(0.400834085),"분실파손3(0.4007094)
","('파손3 i파손50', 0.451)","('휴대폰 관련', 0.445)","('제조사 AS 센터 연락처', 0.441)"
통화중 다른전화,"('전화 관련', 0.886)","('통화품질 관련', 0.841)","('부가통화', 0.82)",2,통화중대기서비스(0.48341715),통화중대기서비스신청방법(0.47973898),T_통화중대기(0.45918903),"('통화중대기 서비스', 0.738)","('통화중대기 서비스 신청 방법', 0.551)","('T_통화중대기', 0.435)"
선택약정할인 재가입하고싶어요,"('선택약정 할인제도 재가입 조건', 0.978)","('B tv 최근시청 VOD', 0.775)","('분실폰 찾기 개인 정보 삭제', 0.734)",2,선택약정할인제도가입조건(0.4960398),선택약정할인제도재가입조건(0.495857715),선택약정할인제도가입불가요금제(0.4914695),"('선택약정 할인제도 재가입 조건', 0.866)","('선택약정 할인제도 해지 방법', 0.534)","('선택약정 할인제도 약정 기간 변경', 0.46)"
징지일자,"('각종업무구비서류', 0.86)","('요금안내서 Bill Letter', 0.842)","('해외 SMS 서비스', 0.826)",2,"요금납부일확인방법(0.83553827)
",,,"('요금 납부일 확인 방법', 0.453)",,
틍신비 안심  해제 합니다,"('안심통보 서비스 신청 방법', 0.979)","('안심통보 서비스 해지 방법', 0.975)","('LTE 안심옵션 신청 방법', 0.974)",2,"T플랜안심4G(0.8037975)
",,,"('안심키퍼 해지 방법', 0.509)","('퀵보이스 해지 방법', 0.483)","('T자녀안심 해지 방법', 0.469)"
30일 안으로 납부할께요,"('과납', 0.787)","('요금 부분 납부 방법', 0.778)","('미납 직권해지', 0.721)",2,"요금납부일확인방법(0.95699686)
",,,"('단말기 할부금 중도 납부 방법', 0.616)","('요금 납부일 변경 방법', 0.57)","('요금 납부일 확인 방법', 0.569)"
Wow Sans,"('T_PC원스톱', 0.739)","('데이터SOS', 0.739)","('T um 체험관', 0.695)",2,"Wavve코인확인방법(0.8251724)
",,,"('Wavve', 0.517)",,
언제나 상담헤 조서 고마워,"('T로밍 청구내역서', 0.907)","('요금안내서 변경 방법', 0.859)","('요금안내서 재발행 방법', 0.857)",2,전화상담사연결(0.468597325),SK텔레콤고객센터운영시간(0.44109525),타통신사고객센터(0.42093895),,,
114 통화종료,"('T쿠폰 고객센터', 0.874)","('T로밍 고객센터', 0.864)","('전화 관련', 0.863)",2,"전화상담사연결(0.86368006)
",,,"('통화중대기 서비스 해지 방법', 0.43)","('T전화 T114 이용 방법', 0.419)","('전화 상담사 연결', 0.407)"
해지내역,"('예상 해지 금액', 0.991)","('SKT 해지 미납센터 연락처', 0.99)","('퀵보이스 해지 방법', 0.988)",2,이동전화해지방법(0.48609205),자동납부해지방법(0.466038585),"유선해지방법(0.434480725)
","('SKT 해지 미납센터 연락처', 0.629)","('이동전화 해지 방법', 0.618)","('예상 해지 금액', 0.514)"
실시간은 빼주세요,"('실시간 요금 상세 내역', 0.814)","('0프로그램', 0.688)","('예약 관련', 0.611)",2,실시간요금상세내역(0.47724992),"휴대폰결제연체가산금(0.403333)
",,"('실시간 요금 상세 내역', 0.435)",,
미납요금건 가상계좌 부탁드려요,"('원패스 제공 국가', 0.572)","('공동인증서 등록 방법', 0.556)","('휴대폰인증서서비스', 0.551)",2,SKT미납센터연락처(0.49137002),미납직권해지(0.4650661),미납이용정지(0.45538673),"('SKT 미납센터 연락처', 0.637)","('미납 이용정지', 0.436)","('수납이력서 재발행 방법', 0.411)"
9월요금 알려주세요,"('T 아이폰파손9', 0.605)","('T Tab 9', 0.603)","('New T 아이폰파손9', 0.576)",2,"요금납부일확인방법(0.8482661)
",,,"('실시간 요금 상세 내역', 0.501)","('T Tab 9', 0.456)","('요금제문의', 0.45)"
9월 요금 냈는데 왜 나오지?,"('실시간 요금 상세 내역', 0.656)","('요금 부분 납부 방법', 0.647)","('미납 이용정지', 0.609)",2,요금부분납부방법(0.46908975),요금수납내역확인방법(0.46665615),과납(0.45968405),"('요금 납부일 확인 방법', 0.502)","('과납', 0.464)","('실시간 요금 상세 내역', 0.436)"
휴대폰간펴노그인서비스를 해지하고싶습니다,"('멜론 익스트리밍 플러스 해지 방법', 0.956)","('멜론 익스트리밍 해지 방법', 0.954)","('NUGU 서비스 탈퇴 방법', 0.953)",2,휴대폰간편로그인해지방법(0.4178968),휴대폰간편로그인신청방법(0.41526988),전화번호안심로그인해지방법(0.4000377),"('손누리링 해지 방법', 0.484)","('레드커넥트 해지 방법', 0.464)","('헬로링 해지 방법', 0.459)"
쌈쩜쌈 부가 서비스 해지 신청합니다,"('데이터슈퍼패스', 0.643)","('티다팩', 0.628)","('단말기 자급제도', 0.617)",2,스팸ARS차단플러스해지방법(0.486807375),퀵보이스해지방법(0.486361325),"ZEM플러스웅진스마트올해지방법(0.4490875)
","('미디어 앤 데이터팩 해지 방법', 0.412)","('퀵보이스 해지 방법', 0.41)",
실시간 이용요금이 뭐죠?,"('실시간 요금 상세 내역', 0.874)","('휴대폰결제 이용동의 신청 방법', 0.767)","('결제 관련', 0.738)",2,"실시간요금상세내역(0.9735804)
",,,"('실시간 요금 상세 내역', 0.793)","('요금제문의', 0.435)","('최근 사용량 확인 방법', 0.422)"
해외에있는걸알수있도록 전화 안내맨트 설정하고싶습니다,"('전화 상담사 연결', 0.838)","('A.', 0.816)","('영업장 위치 확인', 0.765)",2,로밍한사람간통화요금(0.41307505),T로밍청구내역서(0.40795195),로밍통화요금발생시점(0.4075234),"('로밍 중 발신번호 표시', 0.564)","('국제전화 알림 Biz 레터링', 0.499)","('로밍 중 전화 발신 방법', 0.486)"
가입시 작성한 가입신청서를 메일로 받고자합니다,"('요금안내서 변경 방법', 0.958)","('유선 요금안내서', 0.954)","('T로밍 청구내역서', 0.948)",2,이동전화가입제한(0.4895986),가입상담예약방법(0.48934835),이용계약증명서발급방법(0.44177365),"('이용계약 증명서 발급 방법', 0.588)","('요금안내서 변경 방법', 0.469)","('요금안내서 재발행 방법', 0.425)"
주민번호. 261226,"('주민등록번호 정정', 0.874)","('번호도용문자차단', 0.864)","('번호도용문자차단 신청 방법', 0.848)",2,주민등록번호정정(0.48781645),요금안내서주소변경방법(0.47504547),주식서비스(0.4411841),"('주민등록번호 정정', 0.48)","('T아이디', 0.404)","('태블릿 번호 확인 방법', 0.402)"
납부가능일 등롣,"('요금 납부일 변경 방법', 0.891)","('요금 납부일 확인 방법', 0.869)","('로밍 일시 허용', 0.855)",2,"요금납부일확인방법(0.8978586)
",,,"('요금 납부일 확인 방법', 0.885)","('요금 납부일 변경 방법', 0.756)","('휴대폰 개통일 확인 방법', 0.508)"
집 인터넷 와이파이가 잘안되요,"('데이터 로밍 차단 시 Wi-Fi 이용', 0.971)","('T wifi zone 찾기', 0.971)","('T wifi zone 이용 방법', 0.969)",2,SK유무선공유기Wi-Fi접속불가조치방법(0.4579151),SK유무선공유기Wi-Fi이름암호확인방법(0.441197365),"유선인터넷모뎀공유기(0.4327861)
","('SK 유무선 공유기 Wi-Fi 접속 불가 조치 방법', 0.812)","('T wifi zone 이용 방법', 0.575)","('휴대폰 T Wi-Fi Zone 이용 불가 조치 방법', 0.513)"
데이터해지할께요 3가지,"('통신과금 선결제 취소 방법', 0.943)","('예상 해지 금액', 0.937)","('멜론 익스트리밍 해지 방법', 0.929)",2,"데이터통화료상한제도(0.9164234)
",,,"('이동전화 해지 방법', 0.549)","('데이터결합약정할인 해지 방법', 0.503)","('T끼리 데이터 선물하기 취소', 0.459)"
10월에 납부헤야 할금액,"('요금 부분 납부 방법', 0.655)","('통신과금 선결제', 0.612)","('과납', 0.61)",2,단말기할부금중도납부방법(0.44712915),가산금(0.423025),"휴대폰결제연체가산금(0.41516617)
","('요금 납부일 확인 방법', 0.564)","('요금 납부일 변경 방법', 0.509)","('단말기 할부금 중도 납부 방법', 0.476)"
요금금액은?,"('가입비', 0.867)","('휴대폰결제 이용동의 신청 방법', 0.821)","('실시간 요금 상세 내역', 0.777)",2,부가사용금액(0.45323695),과납(0.44561407),편의점요금납부(0.4293315),"('요금제문의', 0.763)","('데이터통화료 상한제도', 0.49)","('채티 서비스', 0.487)"
kt m모바일이 아닌가요?,"('Wavve앤데이터', 0.868)","('모바일 B tv 앱', 0.856)","('데이터 문의 관련', 0.837)",2,"mVoIP(0.8653516)
",,,"('mVoIP', 0.596)","('SK 세븐모바일', 0.594)","('모바일 B tv 앱', 0.445)"
서류발급문의,"('각종업무구비서류', 0.956)","('요금안내서 변경 방법', 0.878)","('요금안내서 Bill Letter', 0.871)",2,"이용계약증명서발급방법(0.88239545)
",,,"('각종업무구비서류', 0.741)","('이용계약 증명서 발급 방법', 0.708)","('신규가입 구비서류', 0.487)"
휴대폰결제내역,"('요금 수납 내역 확인 방법', 0.954)","('콘텐츠 이용료 구매내역 확인 방법', 0.928)","('유선 요금 납부 내역 확인 방법', 0.925)",2,콘텐츠이용료가능대상(0.43958325),콘텐츠이용료구매내역확인방법(0.42830917),휴대폰결제이용가능대상(0.4248322),"('콘텐츠 이용료 구매내역 확인 방법', 0.644)","('요금 수납 내역 확인 방법', 0.624)","('결제 관련', 0.577)"
11월30 일까지납부하겟 읍니다,"('요금 납부일 변경 방법', 0.644)","('로밍 일시 허용', 0.639)","('과납', 0.63)",2,"요금납부일확인방법(0.8552717)
",,,"('요금 납부일 확인 방법', 0.62)","('요금 납부일 변경 방법', 0.567)","('단말기 할부금 중도 납부 방법', 0.515)"
납부가능기일,"('요금 납부일 변경 방법', 0.882)","('요금 납부일 확인 방법', 0.87)","('유선 요금 납부일 변경 방법', 0.84)",2,"요금납부일확인방법(0.97238916)
",,,"('요금 납부일 확인 방법', 0.812)","('요금 납부일 변경 방법', 0.728)","('단말기 할부금 중도 납부 방법', 0.539)"
상대방 이 수신거절시 메시지나 상대방 이 수신돼는지요?,"('SMS 수신거부', 0.92)","('SMS 수신거부 신청 방법', 0.894)","('개별통화수신거부', 0.882)",2,문자매니저(0.45145775),등기문자(0.4503304),문자메시지서비스(0.447453975),"('차단 관련', 0.497)","('SMS 수신거부', 0.464)","('SMS 수신거부 신청 방법', 0.446)"
가입신청합니다,"('가입상담 예약 방법', 0.866)","('퀵보이스 신청 방법', 0.833)","('연결 관련', 0.758)",2,이동전화가입제한(0.490263285),가입상담예약방법(0.48738563),이용계약증명서발급방법(0.446825025),"('가입상담 예약 방법', 0.729)","('신규가입 구비서류', 0.654)","('개통 관련', 0.59)"
다른 휴대폰 미납요금,"('SKT 미납센터 연락처', 0.975)","('미납 이용정지', 0.929)","('과납', 0.866)",2,SKT미납센터연락처(0.48673308),미납이용정지(0.452872215),SKT해지미납센터연락처(0.43859355),"('SKT 미납센터 연락처', 0.694)","('미납 이용정지', 0.604)","('다른 번호 문의', 0.594)"
상담사 원합니다,"('전화 상담사 연결', 0.972)","('A.', 0.903)","('SK텔레콤 고객센터 운영 시간', 0.876)",2,SK텔레콤고객센터운영시간(0.48867005),전화상담사연결(0.4835884),ONEstore고객센터(0.481551825),"('전화 상담사 연결', 0.776)","('SK텔레콤 고객센터 운영 시간', 0.51)","('가입상담 예약 방법', 0.452)"
제가 지금  요금 낼수 있을까요,"('요금 부분 납부 방법', 0.865)","('실시간 요금 상세 내역', 0.803)","('과납', 0.768)",2,요금수납내역확인방법(0.44632005),편의점요금납부(0.44414267),부가사용금액(0.44186225),"('단말기 할부금 중도 납부 방법', 0.51)","('요금 수납 내역 확인 방법', 0.491)","('단말기 할부', 0.479)"
sk인증도 받고 전화가 바로로 수신이 되는데 내가 유심을 바꾼 상태인데 전화 받아도 되는건지요?,"('USIM기변 방법', 0.749)","('USIM 카드 교품 방법', 0.73)","('USIM 카드 구매 방법', 0.725)",2,USIM스마트인증(0.4552631),USIM기기변경방법(0.44656355),USIM카드교품방법(0.4414311),"('USIM기변 방법', 0.486)","('인증 관련', 0.425)","('휴대폰인증서서비스', 0.422)"
부재중전화표시,"('T_부재중안내', 0.981)","('제조사 AS 센터 연락처', 0.772)","('유선 A/S 방문 일정', 0.77)",2,T_부재중안내(0.47516955),T_통화중대기(0.45151317),통화중대기서비스신청방법(0.4499421),"('T_부재중안내', 0.66)","('발신번호표시', 0.562)","('통화중대기 서비스', 0.495)"
이용해지 하고싶어요,"('퀵보이스 이용 방법', 0.866)","('예약 관련', 0.775)","('연결 관련', 0.767)",2,이동전화해지방법(0.43829778),"자동납부해지방법(0.41719785)
",,"('이동전화 해지 방법', 0.449)","('임대 신청 방법', 0.407)",
할인적용 문의,"('예약 관련', 0.812)","('휴대폰결제 이용동의 신청 방법', 0.772)","('통신과금 선결제', 0.764)",2,"SK텔레콤할인혜택(0.9242866)
",,,"('SK텔레콤 할인 혜택', 0.846)","('T멤버십 혜택', 0.553)","('진행 중 이벤트', 0.519)"
납부비용,"('요금 부분 납부 방법', 0.911)","('과납', 0.845)","('부가 사용 금액', 0.815)",2,요금부분납부방법(0.47973433),요금수납내역확인방법(0.47832575),편의점요금납부(0.458779125),"('가입비', 0.585)","('부가 사용 금액', 0.557)","('결제 관련', 0.549)"
핸드폰 결제가 차단돼어 핸드폰으로 결제 하려고 해도 안됌니다,"('무선인터넷 차단', 0.973)","('휴대폰결제 이용 제한 해제 방법', 0.968)","('데이터 로밍 차단 시 통화 문자 이용', 0.967)",2,휴대폰결제이용차단(0.4873369),휴대폰결제이용제한방법(0.46112922),"자동휴대폰결제차단방법(0.434838265)
","('휴대폰 결제 이용 제한 방법', 0.694)","('휴대폰결제이용차단신청방법', 0.67)","('휴대폰결제 이용차단', 0.669)"
선택약정할인을 더연장하려합니다,"('연장 관련', 0.84)","('선택약정 할인제도 약정 기간 변경', 0.835)","('T데이터 쿠폰 등록 기간', 0.826)",2,선택약정할인제도가입조건(0.49511397),선택약정할인제도할인반환금부과대상(0.49469625),선택약정할인반환금면제대상(0.49340475),"('선택약정 할인제도 재가입 조건', 0.588)","('선택약정 할인제도 약정 기간 변경', 0.583)","('선택약정 할인 중복 가입 가능 상품', 0.514)"
멤버십 쿠폰,"('T멤버십 혜택', 0.883)","('T멤버십 혜택 (타사)', 0.881)","('T멤버십 발급 비용', 0.87)",2,T데이터쿠폰등록방법(0.4565701),T쿠폰(0.45238742),T쿠폰구매방법(0.45130835),"('T멤버십 혜택', 0.727)","('T멤버십 가맹점 및 사용 방법', 0.682)","('T멤버십 발급 비용', 0.556)"
미납요금만결제할께요,"('SKT 미납센터 연락처', 0.914)","('과납', 0.899)","('미납 이용정지', 0.882)",2,SKT미납센터연락처(0.476531835),미납이용정지(0.4454213),미납직권해지(0.433802575),"('요금 부분 납부 방법', 0.59)","('과납', 0.559)","('SKT 미납센터 연락처', 0.526)"
