query,MTL_rank1,MTL_rank2,MTL_rank3
연락처복원,"('제조사 AS 센터 연락처', 0.654)","('ONE store 고객센터', 0.4)",
선택 할인 약정 재가입 신청,"('선택약정 할인제도 재가입 조건', 0.77)","('선택약정 할인제도 약정 기간 변경', 0.447)","('선택약정 할인제도 해지 방법', 0.403)"
월정액 요금이 얼마인지,"('요금제문의', 0.639)","('실시간 요금 상세 내역', 0.545)","('ZEM플랜 요금제', 0.418)"
혹시 문자 보내기도 가능하니?,"('문자메시지 서비스', 0.622)","('메시지 관련', 0.611)","('Tworld 문자 보내기 이용 방법', 0.611)"
8월달요금인가요?,"('요금제문의', 0.529)","('실시간 요금 상세 내역', 0.499)","('파손3 파손80', 0.435)"
해외 베트남에 있는데 문자가 들어오지 않아요,"('해외 SMS 서비스', 0.476)","('로밍 문자 사용량 SMS', 0.441)","('로밍 문자 요금', 0.42)"
작년 사용요금을 알수 있을까요?,"('실시간 요금 상세 내역', 0.703)","('로밍 요금 확인 시점', 0.466)","('법인폰 청구 요금 조회 방법', 0.447)"
25일  납부  가능해요,"('단말기 할부금 중도 납부 방법', 0.622)","('요금 납부일 확인 방법', 0.602)","('요금 납부일 변경 방법', 0.581)"
로밍안내방송서비스 요금이 있나요?,"('자동안심 T로밍 음성', 0.453)","('국제전화 알림 Biz 레터링', 0.411)","('해외 SMS 서비스', 0.406)"
실시간 이용요금 의 내역은?,"('실시간 요금 상세 내역', 0.883)","('최근 사용량 확인 방법', 0.527)",
언제 쿠폰 사용가능해?,"('요금 납부일 변경 방법', 0.498)","('요금 납부일 확인 방법', 0.466)","('데이터 리필하기 쿠폰 유효기간', 0.45)"
상담원 부탁드려요,"('전화 상담사 연결', 0.868)","('SK텔레콤 고객센터 운영 시간', 0.579)","('타 통신사 고객센터', 0.446)"
22일 납부가능요,"('요금 납부일 확인 방법', 0.627)","('요금 수납 내역 확인 방법', 0.58)","('요금 납부일 변경 방법', 0.576)"
선택약정미가입,"('선택약정 할인제도 할인 반환금 부과 대상', 0.502)","('선택약정 할인제도 만료 SMS 발송 시기', 0.479)","('선택약정 할인 반환금 면제 대상', 0.444)"
리오넬 메시 영화,,,
로밍할려고해요.,"('미성년자 로밍', 0.572)","('가족 로밍', 0.565)","('T로밍 고객센터', 0.561)"
발신자,"('발신번호 관련', 0.596)","('메시지 관련', 0.483)","('SMS MMS 발신자번호 확인', 0.474)"
오늘 출국인데 t로밍 가입해주세요,"('T로밍 카드 등록 방법', 0.578)","('로밍폰 임대 예약 방법', 0.489)","('T로밍 고객센터', 0.471)"
국제전화 안되요,"('국제전화 발신 금지', 0.55)","('국제전화 알림 Biz 레터링', 0.52)","('국제전화 청구 주기', 0.48)"
가입상품조정,"('요금제 변경', 0.448)","('이동전화 가입제한', 0.425)",
요금반환금,"('반납 관련', 0.501)","('선택약정 할인제도 할인 반환금 부과 대상', 0.463)","('과납', 0.459)"
헥토이노베이션 해지해주세요,"('이동전화 해지 방법', 0.474)","('T 아이폰케어 해지 방법', 0.401)",
구글 아세요 ?,"('구글 Play 스토어 고객센터', 0.618)","('SK텔레콤 유튜브', 0.531)","('게임 관련', 0.49)"
요금이 많이 나오는이유?,"('요금제문의', 0.592)","('SK텔레콤 할인 혜택', 0.48)","('실시간 요금 상세 내역', 0.43)"
tv요금제변경,"('유선 상품 변경 방법', 0.794)","('요금제 변경', 0.552)","('B tv 요금제', 0.488)"
납부날짜 입력하고 싶어요,"('요금 납부일 확인 방법', 0.793)","('요금 납부일 변경 방법', 0.766)","('수납이력서 재발행 방법', 0.484)"
미납요금 얼마?,"('SKT 미납센터 연락처', 0.663)","('가산금', 0.639)","('미납 이용정지', 0.618)"
지원금,"('T지원금 약정', 0.762)","('공시지원금 확인 방법', 0.605)","('SK텔레콤 할인 혜택', 0.428)"
요금제변경했는데 우주 구독이 자동결제가 되었더라구요,"('T우주패스', 0.531)","('T우주 정기배송 서비스', 0.502)","('T우주패스 상품 신청 방법', 0.42)"
고객센타는 오늘 아니된다고 하던데요,"('SK텔레콤 고객센터 운영 시간', 0.566)","('고장 실패 관련', 0.49)","('통화품질 관련', 0.445)"
인증서가 없어서 변경이 안된대요,"('인증 관련', 0.622)","('유선 인터넷 웹 보안 인증서 문제 조치 방법', 0.616)","('휴대폰인증서서비스', 0.597)"
왜 요금이 많이 나왔나요,"('실시간 요금 상세 내역', 0.543)","('요금제문의', 0.523)","('SK텔레콤 할인 혜택', 0.465)"
가입된요금제가 뭔가요?,"('요금제문의', 0.658)","('부가서비스 가입내역 확인 방법', 0.57)","('요금제 추천', 0.493)"
17일 납부가능합니다,"('요금 납부일 확인 방법', 0.649)","('단말기 할부금 중도 납부 방법', 0.615)","('요금 수납 내역 확인 방법', 0.596)"
데이터로밍무조건차단이 안되요,"('데이터 로밍 무조건 허용', 0.792)","('데이터 로밍 차단 해지', 0.482)","('데이터 로밍 차단 시 통화 문자 이용', 0.462)"
현재 미납은 몇월분,"('요금 수납 내역 확인 방법', 0.603)","('SKT 미납센터 연락처', 0.582)","('과납', 0.547)"
10880678 번호문자들어오게끔해주세요,,,
요금 이중 으로 빠졌는데,"('과납', 0.83)","('요금 수납 내역 확인 방법', 0.417)","('미납 이용정지', 0.401)"
혹시 상담 좀 할수 있을까요?,"('채티 서비스', 0.699)","('전화 상담사 연결', 0.546)","('A.', 0.431)"
쿠폰 개수 조회,"('데이터 리필하기 쿠폰 제공', 0.531)","('T쿠폰 잔액 조회 방법', 0.427)","('추가 관련', 0.415)"
배우자  01037450741  미납요금  알 려주세요,"('다른 번호 문의', 0.577)","('SKT 미납센터 연락처', 0.464)","('자녀 요금 조회 방법', 0.413)"
선택약정할인 연장원합니다,"('선택약정 할인제도 약정 기간 변경', 0.663)","('선택약정 할인제도 재가입 조건', 0.615)","('선택약정 할인제도 해지 방법', 0.572)"
부가요금조회,"('부가 사용 금액', 0.686)","('부가서비스 가입내역 확인 방법', 0.514)","('부가통화', 0.507)"
딸아이껀데  선택약정할인에 재가입 하라고 문자가 와서요,"('선택약정 할인제도 재가입 조건', 0.703)","('선택약정 할인제도 해지 방법', 0.533)",
결제허용,"('결제 관련', 0.663)","('휴대폰결제 이용동의 신청 방법', 0.642)","('휴대폰 결제 이용가능 대상', 0.593)"
선택재약정,"('선택약정 할인 중복 가입 가능 상품', 0.535)","('선택약정 할인제도 재가입 조건', 0.523)","('선택약정 할인제도 해지 방법', 0.445)"
세이프케시해지방법,"('세이프캐시', 0.515)",,
선택약정 연장해주세요,"('선택약정 할인제도 재가입 조건', 0.622)","('선택약정 할인제도 약정 기간 변경', 0.618)","('연장 관련', 0.565)"
영수증에 다회선이라고 나오는데 무엇인가요,"('Tworld 회선 관리', 0.629)",,
납부가능일 24일 입니다,"('요금 납부일 확인 방법', 0.765)","('요금 납부일 변경 방법', 0.684)","('요금 수납 내역 확인 방법', 0.524)"
혹시 30일은 어려울까요? 그날 납부가 가능해서요,"('요금 납부일 변경 방법', 0.789)","('요금 납부일 확인 방법', 0.693)","('단말기 할부금 중도 납부 방법', 0.448)"
통화가능 불가,"('통화품질 관련', 0.656)","('휴대폰 전화 수발신 불가 조치 방법', 0.65)","('고장 실패 관련', 0.533)"
미납가상계좌,"('SKT 미납센터 연락처', 0.672)","('미납 이용정지', 0.55)","('과납', 0.458)"
25일까지 요금 내겠습니다,"('요금 납부일 확인 방법', 0.586)","('요금 납부일 변경 방법', 0.577)","('단말기 할부금 중도 납부 방법', 0.574)"
약정신청할려고,"('요금약정 할인제도', 0.573)","('데이터결합약정할인 신청 방법', 0.48)","('T지원금 약정', 0.443)"
선불형요금,"('선불폰', 0.83)","('선불폰 충전 금액별 이용 기간', 0.619)","('프리미엄 패스1', 0.502)"
미납요금과 가상계좌알려줘,"('SKT 미납센터 연락처', 0.653)","('요금 수납 내역 확인 방법', 0.506)","('자동납부번호 확인 방법', 0.495)"
기본요금얼마나가나요,"('요금제문의', 0.642)","('SK텔레콤 할인 혜택', 0.452)","('실시간 요금 상세 내역', 0.449)"
해외로밍중이라는 안내 설정 부탁해,"('로밍 중 발신번호 표시', 0.492)","('T로밍 도착알리미', 0.479)","('국제전화 알림 Biz 레터링', 0.44)"
배우자 카드로 납부요,"('OK캐쉬백 납부', 0.468)","('Sk pay 결제 방법', 0.452)","('요금 부분 납부 방법', 0.444)"
유선 요금 납부,"('유선 요금 납부 내역 확인 방법', 0.676)","('유선 요금 납부일 변경 방법', 0.529)","('유선 요금안내서', 0.511)"
우리은행 미납요금,"('SKT 미납센터 연락처', 0.628)","('과납', 0.492)","('미납 이용정지', 0.473)"
"oass,프라임 약정취소요","('PASS 프라임 서비스 해지 방법', 0.682)","('선택약정 할인제도 해지 방법', 0.457)","('5GX퍼펙트클럽 갤럭시S21 해지 방법', 0.429)"
문자 한도,"('일 500건 SMS 발송량 제한', 0.641)","('메시지 관련', 0.474)","('060정보료 한도제', 0.455)"
요금조회 물어보기,"('실시간 요금 상세 내역', 0.68)","('요금제문의', 0.6)","('조회 관련', 0.437)"
청구서보내주세요.수납날자가 몇일이에요,"('요금 납부일 확인 방법', 0.681)","('요금 납부일 변경 방법', 0.647)","('요금안내서 재발행 방법', 0.629)"
요금 나 줄게요,"('요금제문의', 0.485)","('T안심보상', 0.453)","('SK텔레콤 할인 혜택', 0.424)"
선택약정연장하고싶어요,"('연장 관련', 0.569)","('선택약정 할인제도 재가입 조건', 0.559)","('선택약정 할인제도 약정 기간 변경', 0.559)"
가입 신청,"('가입상담 예약 방법', 0.626)","('신규가입 구비서류', 0.614)","('개통 관련', 0.57)"
약정할인적용,"('요금약정 할인제도', 0.669)","('T지원금 약정', 0.535)","('데이터결합약정할인', 0.47)"
문자 재전송,"('메시지 관련', 0.524)","('등기문자', 0.463)","('MMS', 0.437)"
납부일정,"('요금 납부일 확인 방법', 0.789)","('요금 납부일 변경 방법', 0.772)","('요금 수납 내역 확인 방법', 0.513)"
가상전용계좌보내주세요?,,,
내일 대만여행입니다 로밍하고 싶어요,"('가족 로밍', 0.495)","('미성년자 로밍', 0.445)","('로밍 일시 허용', 0.442)"
이용명세서 문자발송,"('요금안내서 재발행 방법', 0.549)","('요금안내서 변경 방법', 0.499)","('등기문자', 0.492)"
가입성담여약 방법,"('가입상담 예약 방법', 0.6)","('신규가입 구비서류', 0.439)",
아니 잘못 눌렀는데  니는 데이터 없나요?,"('데이터 문의 관련', 0.651)","('데이터 추가 사용 방법', 0.559)","('휴대폰 데이터 접속 불가 조치 방법', 0.447)"
7월부터 10월 13일까지 요금이 다 냈는데 무슨 미납금이 있다는건징,"('요금 수납 내역 확인 방법', 0.635)","('과납', 0.578)","('요금 납부일 확인 방법', 0.54)"
내거말고 자녀 선택약정가입,"('다른 번호 문의', 0.479)","('선택약정 할인 중복 가입 가능 상품', 0.474)","('선택약정 할인제도 가입 가능 단말기 조회 방법', 0.426)"
해외로밍데이터 1기가 충전,"('baro 1GB 충전', 0.714)","('T로밍 데이터 충전', 0.706)","('T로밍 데이터 잔여량 확인', 0.444)"
납부가능일확인,"('요금 납부일 확인 방법', 0.881)","('요금 납부일 변경 방법', 0.675)","('휴대폰 개통일 확인 방법', 0.505)"
다시 선물하기,"('T끼리 데이터 선물하기 취소', 0.53)","('T끼리 데이터 선물하기 받은 데이터 사용 방법', 0.475)",
통회시 대기,"('SK텔레콤 고객센터 운영 시간', 0.413)",,
NUGU가 Btv와 관련있니???,"('B tv NUGU', 0.873)","('NUGU 서비스', 0.62)","('B tv NUGU 이용 방법', 0.601)"
약정금 납부,"('단말기 할부금 중도 납부 방법', 0.698)","('단말기 할부', 0.488)","('단말기 잔여 할부 조회 방법', 0.418)"
부위중 소리를들을수 있는것은?,"('소리샘 서비스', 0.526)","('소리 관련', 0.505)","('소리샘 서비스 청취 방법', 0.503)"
우주플러스 해지,"('T우주패스 해지 방법', 0.636)","('이동전화 해지 방법', 0.441)","('T Ring플러스 해지 방법', 0.433)"
"누구 서비스 센터가 뭐야,","('NUGU 서비스 디바이스 AS 센터', 0.873)","('NUGU 서비스', 0.514)","('행복AS', 0.491)"
입금 어디로할가요,"('단말기 할부금 중도 납부 방법', 0.522)","('편의점 요금 납부', 0.463)","('요금 수납 내역 확인 방법', 0.452)"
요금 납부 할여고 합니다 계좌번호  주세요,"('수납이력서 재발행 방법', 0.563)","('요금 수납 내역 확인 방법', 0.559)","('편의점 요금 납부', 0.532)"
신용카드납부는 안되나요,"('편의점 요금 납부', 0.532)","('동일 신용카드 월 5회 수납 제한', 0.52)","('현금영수증 발급 방법', 0.502)"
11월 25일까지 입금 하겠습니다,"('단말기 할부금 중도 납부 방법', 0.578)","('요금 납부일 확인 방법', 0.466)","('요금 수납 내역 확인 방법', 0.422)"
현재 요금제 한단계 떨어트릴시 멤버쉽,"('VIP 요금제 프로그램', 0.576)","('T멤버십 고객 등급 기준', 0.505)",
2023.11.21로 미납요금 납부 등록,"('요금 납부일 확인 방법', 0.543)","('요금 수납 내역 확인 방법', 0.471)","('SKT 미납센터 연락처', 0.463)"
그 상담사는 누구야,"('전화 상담사 연결', 0.591)","('채티 서비스', 0.528)","('SK텔레콤 고객센터 운영 시간', 0.478)"
납부해야할 금액 알려줘,"('요금 수납 내역 확인 방법', 0.659)","('요금 납부일 확인 방법', 0.538)","('단말기 할부금 중도 납부 방법', 0.497)"
웨이브이용이안되여,"('Wavve 해지 방법', 0.55)","('Wavve', 0.52)","('Wavve go 서비스', 0.473)"
20일날 납부 가능한가요?,"('요금 납부일 확인 방법', 0.663)","('요금 납부일 변경 방법', 0.649)","('단말기 할부금 중도 납부 방법', 0.646)"
유심 교체 후 인증문자,"('인증 관련', 0.559)","('USIM기변 방법', 0.516)","('USIM 카드 구매 방법', 0.499)"
무엇을 잘못했는지 가족보호서비스에 가입되었다고 하는데 해지해주세요.,"('휴대폰가족보호 해지 방법', 0.728)","('가족 결합 상품 해지 방법', 0.488)","('T자녀안심 해지 방법', 0.42)"
선택 약정할인문의,"('데이터결합약정할인', 0.447)","('B tv 선택', 0.446)","('선택약정 할인 중복 가입 가능 상품', 0.444)"
선물말고 내가 쓰려구요,,,
이것이 미납요금이 맞나요,"('과납', 0.663)","('가산금', 0.654)","('SKT 미납센터 연락처', 0.641)"
데이터 용량 얼마나 남았니?,"('데이터 추가 사용 방법', 0.584)","('일자별 잔여통화안내', 0.553)","('자녀 데이터 사용량 조회 방법', 0.537)"
연락?,"('전화 상담사 연결', 0.738)","('제조사 AS 센터 연락처', 0.563)","('SK텔레콤 고객센터 운영 시간', 0.514)"
sk 브로드밴드  티비  요금,"('B tv 월정액', 0.639)","('B tv 요금제', 0.581)","('B tv', 0.578)"
통화량 알려줘,"('최근 사용량 확인 방법', 0.668)","('일자별 잔여통화안내', 0.518)","('실시간 요금 상세 내역', 0.475)"
미납  요금 카드 등록,"('SKT 미납센터 연락처', 0.537)","('미납 이용정지', 0.455)","('동일 신용카드 월 5회 수납 제한', 0.454)"
와이파$이,"('T wifi 렌탈 이용 요금', 0.426)",,
단말분할 상담 수수료,"('T끼리 데이터 선물하기 비용', 0.453)","('애플 콘텐츠 이용료 결제 수수료', 0.424)","('휴대폰 렌탈 이용 요금', 0.406)"
파리바게트 쿠폰취소,"('데이터 리필하기 쿠폰 취소', 0.463)","('T멤버십 재발급 취소', 0.433)","('휴대폰 결제 취소 방법', 0.403)"
휴대폰 결제 한도 향상,"('법인 휴대폰 결제 이용 한도', 0.611)","('애플 콘텐츠 이용료 결제 이용 한도', 0.56)","('060정보료 한도제', 0.466)"
텍스트로 전화받기가 되나요?,"('T전화 작은 수신화면 모드', 0.456)","('Tworld 문자 보내기 이용 방법', 0.443)",
당월사용요금,"('실시간 요금 상세 내역', 0.659)","('요금제문의', 0.47)","('요금 수납 내역 확인 방법', 0.46)"
t녹음,"('T전화 AI통화녹음', 0.709)","('T전화 통화 녹음 기능', 0.635)","('T전화 녹음 파일 확인 방법', 0.593)"
미납요금 없읍니다,"('SKT 미납센터 연락처', 0.64)","('요금 수납 내역 확인 방법', 0.617)","('미납 이용정지', 0.57)"
인터넷이랑 티비요금미납금액이요,"('유선 요금 납부 내역 확인 방법', 0.463)","('B tv 미가입 채널 조치 방법', 0.424)","('B tv 인터넷 장애 조치 방법', 0.409)"
쿠폰문의,"('SK텔레콤 할인 혜택', 0.621)","('T쿠폰', 0.586)","('데이터 리필하기 쿠폰 제공', 0.583)"
11월전화요금예상금액,,,
30일 납부가능합니다,"('단말기 할부금 중도 납부 방법', 0.657)","('요금 납부일 확인 방법', 0.627)","('요금 납부일 변경 방법', 0.61)"
여론조사 연락 차단,"('T전화 스팸 기능', 0.406)",,
통화정지,"('정지 관련', 0.777)","('일시정지', 0.597)","('착신금지', 0.544)"
네이버 vs 구글,"('구글 Play 스토어 고객센터', 0.556)","('SK텔레콤 유튜브', 0.503)","('게임 관련', 0.433)"
보안 상품 사기,"('스미싱', 0.547)","('T안심보안', 0.5)","('SK 쉴더스 모바일가드', 0.457)"
해외 핫스핏,"('T우주패스 핫픽', 0.465)","('테더링 및 모바일 핫스팟', 0.402)",
로밍 조회,"('로밍 요금 확인 시점', 0.663)","('T로밍 고객센터', 0.549)","('로밍 통화내역 열람', 0.496)"
신용카드 납부하고 싶어요,"('편의점 요금 납부', 0.552)","('통신과금 선결제 이용 방법', 0.541)","('동일 신용카드 월 5회 수납 제한', 0.52)"
미납요금 세부내역 주세요,"('SKT 미납센터 연락처', 0.702)","('요금 수납 내역 확인 방법', 0.669)","('미납 이용정지', 0.522)"
납부기일20일날입금도록하겠습니다,"('요금 납부일 확인 방법', 0.603)","('단말기 할부금 중도 납부 방법', 0.597)","('요금 납부일 변경 방법', 0.589)"
25일까지 납부가능,"('단말기 할부금 중도 납부 방법', 0.62)","('요금 납부일 확인 방법', 0.597)","('요금 납부일 변경 방법', 0.553)"
11월14일 납부가능,"('요금 납부일 확인 방법', 0.606)","('단말기 할부금 중도 납부 방법', 0.593)","('요금 납부일 변경 방법', 0.563)"
미납요금은요,"('SKT 미납센터 연락처', 0.679)","('미납 이용정지', 0.64)","('과납', 0.61)"
미납금 납부가능일 11월25일 가능할까요?,"('요금 납부일 확인 방법', 0.627)","('단말기 할부금 중도 납부 방법', 0.592)","('요금 납부일 변경 방법', 0.586)"
선택약정 신청합니다,"('선택약정 할인제도 가입 조건', 0.535)","('요금약정 할인제도', 0.444)","('가입상담 예약 방법', 0.418)"
납부가능일 어떻게 등록하나요,"('요금 납부일 확인 방법', 0.773)","('요금 납부일 변경 방법', 0.751)","('수납이력서 재발행 방법', 0.436)"
아이폰15pro사줘,"('5G 기기 변경 방법', 0.523)","('아이폰 기기 변경 상담', 0.52)","('휴대폰 기기변경 방법', 0.477)"
1년약정신청,"('요금약정 할인제도', 0.463)",,
전화요금 사용량비례 줄이는방법,,,
다음에 상담사와 의논하겠습니다,"('전화 상담사 연결', 0.68)","('SK텔레콤 고객센터 운영 시간', 0.581)","('채티 서비스', 0.487)"
계좌번호 부탁합니다,"('자동납부번호 확인 방법', 0.442)",,
핸드폰요금  27일 날 입금 돼는데요,"('요금 납부일 확인 방법', 0.712)","('요금 납부일 변경 방법', 0.653)","('단말기 할부금 중도 납부 방법', 0.508)"
납부 가능 날짜 20일로 변뎡,"('요금 납부일 변경 방법', 0.812)","('요금 납부일 확인 방법', 0.684)","('단말기 할부금 중도 납부 방법', 0.45)"
문자보네기,"('문자매니저', 0.57)","('안심문자', 0.552)","('등기문자', 0.528)"
유플러스티비,"('B tv', 0.719)","('TB끼리 TV플러스', 0.613)","('B tv 실시간 채널', 0.519)"
01040940755 누구전화번호에요,"('NUGU 서비스', 0.544)","('T전화 NUGU', 0.485)","('NUGU 서비스 아이디 비밀번호 찾기', 0.452)"
누구 사전,"('NUGU 서비스', 0.541)","('NUGU 서비스 어학사전', 0.433)","('NUGU 서비스 타이머', 0.407)"
태블릿 관련 요금제는?,"('태블릿 번호 확인 방법', 0.493)","('미성년자 요금제 변경 방법', 0.472)","('요금제문의', 0.431)"
지로로요금영세서를받도록 해주세요,"('요금안내서 변경 방법', 0.611)","('수납이력서 재발행 방법', 0.607)","('요금안내서 재발행 방법', 0.603)"
전화하지않고 카드로 납부하는 방법은 없어?,"('편의점 요금 납부', 0.58)","('OK캐쉬백 납부', 0.564)","('Sk pay 결제 방법', 0.521)"
문자로  청구서 받고 싶어요,"('요금안내서 변경 방법', 0.763)","('요금안내서 재발행 방법', 0.573)","('메시지 관련', 0.464)"
제 요금제가 해외여행시 자동으로 로밍이되는지 궁금합니다,"('자동안심 T로밍', 0.567)","('데이터 로밍 무조건 허용', 0.521)",
미납일변경,"('요금 납부일 변경 방법', 0.596)","('SKT 미납센터 연락처', 0.482)","('미납 이용정지', 0.465)"
80000만원에 대한 콘텐츠는 어떤건가요?,"('채티 서비스', 0.43)","('Wavve 콘텐츠 팩', 0.417)",
남은 쿠폰 개수 알려줘,"('T쿠폰 잔액 조회 방법', 0.506)","('데이터 리필하기 쿠폰 제공', 0.478)","('T데이터 쿠폰 잔액 조회 방법', 0.461)"
멤버십 쿠폰,"('T멤버십 혜택', 0.793)","('T멤버십 가맹점 및 사용 방법', 0.747)","('제휴카드 할인', 0.552)"
컬러링 종료건으로 문의드릴께요,"('컬러링서비스 해지 방법', 0.893)","('컬러링 서비스', 0.612)","('컬러링 서비스 설정 방법', 0.574)"
가족선물 하고싶어요,"('T끼리 데이터 선물하기 대상', 0.491)","('가족 관련', 0.451)","('T끼리 데이터 선물 조르기 방법', 0.444)"
상담원 연경,"('전화 상담사 연결', 0.428)","('SK텔레콤 고객센터 운영 시간', 0.421)",
1년 재가입신청,"('선택약정 할인제도 재가입 조건', 0.553)","('연장 관련', 0.422)","('이동전화 가입제한', 0.415)"
가상계좌 발송 부탁드립니다,"('채팅플러스 계좌 송금 서비스', 0.419)",,
22일날쯤납부가능합니다,"('단말기 할부금 중도 납부 방법', 0.624)","('요금 납부일 확인 방법', 0.592)","('요금 납부일 변경 방법', 0.577)"
baro 이용할수 없어요,"('T전화 baro 이용 방법', 0.701)","('T전화 baro', 0.631)","('T전화 오류문의', 0.448)"
나 해외임,"('가족 로밍', 0.471)","('T로밍 고객센터', 0.459)","('미성년자 로밍', 0.447)"
브로드밴드전화,"('T전화', 0.57)","('T_인터넷전화', 0.534)","('mVoIP', 0.512)"
t전화 일반전화로 전환,"('T전화 모드 유지', 0.614)","('T_일반전화', 0.566)","('T전화 설정 방법', 0.498)"
카드로납입하고싶어요,"('통신과금 선결제 이용 방법', 0.561)","('OK캐쉬백 납부', 0.53)","('편의점 요금 납부', 0.516)"
9월25일 입금 했습니다,"('요금 수납 내역 확인 방법', 0.555)","('단말기 할부금 중도 납부 방법', 0.524)","('요금 납부일 확인 방법', 0.491)"
휴대폰결제 한조,,,
요금 조회 할래,"('실시간 요금 상세 내역', 0.73)","('요금제문의', 0.63)","('자녀 요금 조회 방법', 0.519)"
녹음 어케해여,"('T전화 통화 녹음 기능', 0.759)","('T전화 녹음 파일 확인 방법', 0.46)",
자녀가kt인데,"('미성년자 관련', 0.687)","('데이터 문의 관련', 0.456)","('다른 번호 문의', 0.447)"
11월24일 납부가능합니다,"('요금 납부일 확인 방법', 0.612)","('단말기 할부금 중도 납부 방법', 0.596)","('요금 납부일 변경 방법', 0.56)"
sk브로드밴드 신청,"('SK브로드밴드 고객센터', 0.616)","('인터넷 TV 가입(타사)', 0.469)","('T플러스 인터넷 신청 방법', 0.456)"
휴대폰소액결제 가능하도록 해주세요,"('휴대폰결제 이용동의 신청 방법', 0.749)","('휴대폰결제이용차단신청방법', 0.597)","('휴대폰결제 이용 제한 해제 방법', 0.571)"
인터넷 켜줘,"('인터넷 관련', 0.736)","('유선 인터넷 장비 전원 고장 조치 방법', 0.486)","('유선 인터넷 모뎀 공유기', 0.431)"
납부가능일알려주세요,"('요금 납부일 확인 방법', 0.911)","('요금 납부일 변경 방법', 0.747)","('요금 수납 내역 확인 방법', 0.475)"
가족 data공유,"('T가족모아 데이터 공유 방법', 0.747)","('T가족모아 데이터', 0.706)","('Data 함께쓰기', 0.508)"
해지가능할까요?,"('이동전화 해지 방법', 0.835)","('철회', 0.553)","('예상 해지 금액', 0.501)"
T멤버십이 뭐야?,"('T멤버십 혜택', 0.927)","('T멤버십 가맹점 및 사용 방법', 0.615)","('T멤버십 포인트', 0.558)"
자녀가kt인데 미성년자고,"('미성년자 관련', 0.74)","('채티 서비스', 0.447)","('데이터 문의 관련', 0.436)"
11월10날 1개월 납부할게요,"('단말기 할부금 중도 납부 방법', 0.566)","('요금 납부일 확인 방법', 0.564)","('요금 납부일 변경 방법', 0.554)"
20고개 하자,"('T나는 폰교체 20', 0.439)",,
약정할인신청방법,"('요금약정 할인제도', 0.665)","('데이터결합약정할인 신청 방법', 0.594)","('T지원금 약정', 0.527)"
미납 요금이 있다구요?,"('SKT 미납센터 연락처', 0.681)","('미납 이용정지', 0.674)","('가산금', 0.631)"
콘텐츠이용료를수남했는데왜이렇게문자가요금이나왔는지모르겠네요,"('콘텐츠 이용료 결제 취소 방법', 0.466)","('콘텐츠 이용료 구매내역 확인 방법', 0.423)","('휴대폰 결제 취소 방법', 0.407)"
휴대용 와이파 기기 보유중 사용요금,"('T포켓파이', 0.441)",,
상당사 연결,"('영업장 위치 확인', 0.427)","('연결 관련', 0.427)",
선물말고,"('T끼리 데이터 선물하기 대상', 0.462)","('가족 관련', 0.443)","('T멤버십 포인트 선물하기', 0.419)"
선물 받은 거,"('T끼리 데이터 선물하기 받은 데이터 사용 방법', 0.692)","('T끼리 데이터 선물하기 알림', 0.49)","('데이터 리필하기 선물 받은 리필 쿠폰 소멸', 0.427)"
지금 t전화가 초록불인데 파란불로 활성화할수 있나요,,,
쿠폰을 타인어게 선물을 할 수가 있나요.,"('T쿠폰', 0.509)","('T멤버십 포인트 선물하기', 0.471)","('T끼리 데이터 선물하기 대상', 0.447)"
전화가 안된다구요,"('휴대폰 전화 수발신 불가 조치 방법', 0.822)","('통화품질 관련', 0.74)","('고장 실패 관련', 0.71)"
T전화 요금제,"('T전화', 0.718)","('집전화 요금제', 0.629)","('T전화 이용 방법', 0.539)"
12윌분휴대폰요금이요,"('baro 12GB', 0.452)","('T 아이폰파손12', 0.401)",
주민번호. 261226,"('T아이디', 0.429)","('주민등록번호 정정', 0.421)","('Msafer 서비스', 0.409)"
전화소리가 들리지 않습니다,"('통화품질 관련', 0.667)","('휴대폰 통화 중 잡음 묵음 조치 방법', 0.648)","('휴대폰 전화 수발신 불가 조치 방법', 0.615)"
미닙요금납부가능일 11월30일,"('요금 납부일 확인 방법', 0.522)","('요금 납부일 변경 방법', 0.427)","('단말기 할부금 중도 납부 방법', 0.425)"
유심 초기화,"('USIM기변 방법', 0.692)","('USIM 카드 구매 방법', 0.592)","('USIM 카드 교품 방법', 0.494)"
미납요금일 옮기기,"('SKT 미납센터 연락처', 0.553)","('요금 납부일 변경 방법', 0.516)","('과납', 0.446)"
취소할께여,"('철회', 0.721)","('이동전화 해지 방법', 0.621)","('퀵보이스 해지 방법', 0.532)"
단말기 변경,"('휴대폰 기기변경 방법', 0.794)","('중고 기기변경 방법', 0.594)","('번호이동 제도', 0.506)"
컬러리를 걸때나 받을때 같이 들리게 좀 부탁합니다,"('컬러링 서비스 설정 방법', 0.594)","('컬러링 서비스', 0.543)","('본인컬러링 듣기', 0.406)"
미납금액은 납부된걸루알고있어요,"('요금 수납 내역 확인 방법', 0.652)","('SKT 미납센터 연락처', 0.557)","('과납', 0.547)"
난 요금 미납되지 않아는대요,"('요금 수납 내역 확인 방법', 0.537)","('과납', 0.527)","('SKT 미납센터 연락처', 0.526)"
휴대폰신언호명의로되었는지확인해주세요,"('내 휴대폰 기종 확인', 0.504)","('발신번호 관련', 0.483)","('Msafer 서비스', 0.475)"
